owner_no,brand,model_year,price,registered_year,kms_driven,engine_cc,mileage_kmpl,car_age,mileage_normalized,brand_popularity,age_group,high_mileage,city_chennai,city_delhi,city_hyderabad,city_jaipur,city_kolkata,transmission_manual,fuel_type_diesel,fuel_type_electric,fuel_type_lpg,fuel_type_petrol,variant_name_encoded,model_encoded
2,9,2014,0.05150438779774342,2014,0.011868399765159323,0.26866883116883117,0.1067559434246163,0.23684210526315788,0.05099810991567315,0.08482158292756482,2,0,False,False,False,False,False,True,True,False,False,False,505538.46153846156,564454.268292683
1,29,2022,0.1020685332218972,2022,0.0017998512336317447,0.22869318181818185,0.07711405356605477,0.02631578947368421,0.23635867984879322,0.1076977624637566,0,0,False,False,False,False,False,True,False,False,False,True,915000.0,885534.0909090909
2,8,2016,0.07804011700793982,2016,0.012163677914812617,0.289163961038961,0.0806500150466446,0.18421052631578946,0.05377653387612678,0.08789688391846587,2,0,False,False,False,False,False,True,False,False,False,True,606224.4897959183,696057.5342465753
3,1,2011,0.22691182615963226,2011,0.018163788098654172,0.39021915584415584,0.08576587421005116,0.3157894736842105,0.030997382960162835,0.5195198980035183,2,0,False,False,False,False,False,False,True,False,False,False,1641000.0,3402756.756756757
1,19,2016,0.05787714166318429,2016,0.0032695145856314815,0.2282873376623377,0.1151068311766476,0.18421052631578946,0.07000763303285838,0.0687858479816197,2,1,False,False,False,False,False,True,False,False,False,True,424566.34688346885,506008.6455331412
1,27,2020,0.1109486000835771,2020,0.005436281648081173,0.28936688311688313,0.07026783027384895,0.07894736842105263,0.10707691189299216,0.07380679424559385,1,0,False,False,False,False,False,True,False,False,False,True,958500.0,637742.8571428572
2,29,2016,0.044818219807772675,2016,0.010460737551725949,0.22869318181818185,0.12609088173337346,0.18421052631578946,0.07518173887758069,0.1076977624637566,2,1,False,False,False,False,False,True,False,False,False,True,470370.3703703704,521147.36842105264
2,20,2016,0.5089845382365232,2016,0.009072712062530602,0.9316152597402598,0.0054920252783629275,0.18421052631578946,0.018372891829020063,0.5468404912746022,2,0,False,False,False,False,False,False,False,False,False,True,5025000.0,3515642.8571428573
1,8,2015,0.05453405766819892,2015,0.019982003305878886,0.289163961038961,0.07764068612699368,0.21052631578947367,0.04550741494620528,0.08789688391846587,2,0,False,False,False,False,False,True,False,False,False,True,606224.4897959183,696057.5342465753
1,9,2018,0.056623485165064776,2018,0.0042448052227868184,0.20576298701298704,0.09945832079446285,0.13157894736842105,0.08661674905495784,0.08482158292756482,1,0,False,False,False,False,False,False,False,False,False,True,529600.0,490375.0
