city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl,car_age,mileage_normalized,brand_popularity,age_group,high_mileage
hyderabad,manual,2,maruti,maruti 800,1985,dx,160000.0,1985,petrol,50000,796,16.1,39,0.41282051282051285,504649.26094808127,old,0
hyderabad,manual,1,maruti,maruti baleno,2020,zeta,760000.0,2020,petrol,20000,1197,21.01,4,5.2525,504649.26094808127,mid-age,0
hyderabad,manual,2,tata,tata aria,2011,pleasure 4x2,300000.0,2011,diesel,100000,2179,13.7,13,1.0538461538461539,748643.1780487805,old,0
hyderabad,automatic,1,maruti,maruti swift dzire,2017,amt vdi,741000.0,2018,diesel,49260,1248,28.4,6,4.733333333333333,504649.26094808127,mid-age,1
hyderabad,manual,1,maruti,maruti celerio,2015,zxi,365000.0,2015,petrol,73069,998,25.24,9,2.804444444444444,504649.26094808127,old,1
hyderabad,manual,1,maruti,maruti swift,2013,vxi,410000.0,2013,petrol,80000,1197,18.6,11,1.6909090909090911,504649.26094808127,old,0
hyderabad,manual,1,maruti,maruti swift dzire,2014,vxi,475000.0,2014,petrol,78850,1197,22.41,10,2.241,504649.26094808127,old,1
hyderabad,manual,2,hyundai,hyundai i20,2016,sportz 1.2,561000.0,2016,petrol,89224,1197,18.6,8,2.325,605200.0006153847,old,0
hyderabad,automatic,2,tata,tata hexa,2017,xta,1200000.0,2017,diesel,90000,2179,17.6,7,2.5142857142857147,748643.1780487805,mid-age,0
hyderabad,manual,2,maruti,maruti wagon r,2017,vxi bs iv,411000.00000000006,2018,petrol,59084,998,20.51,6,3.4183333333333334,504649.26094808127,mid-age,0
hyderabad,automatic,1,maruti,maruti wagon r,2016,amt vxi,460000.0,2016,petrol,70000,998,20.51,8,2.56375,504649.26094808127,old,0
hyderabad,manual,2,maruti,maruti wagon r,2013,vxi bs iv,309000.0,2014,petrol,59730,998,18.9,10,1.89,504649.26094808127,old,0
hyderabad,manual,1,honda,honda city,2015,i vtec sv,594000.0,2015,petrol,50933,1497,17.4,9,1.9333333333333331,624483.4192037471,old,0
hyderabad,automatic,2,volvo,volvo v40,2016,d3 r-design,1800000.0,2016,diesel,40000,1984,16.8,8,2.1,3188731.7073170734,old,0
hyderabad,manual,1,maruti,maruti swift dzire,2016,vxi,516000.0,2016,petrol,94426,1197,22.41,8,2.80125,504649.26094808127,old,1
hyderabad,manual,2,tata,tata hexa,2019,xm plus,1300000.0,2019,diesel,50000,2179,17.6,5,3.5200000000000005,748643.1780487805,mid-age,0
hyderabad,manual,2,mahindra,mahindra xuv500,2013,w8 4wd,680000.0,2013,diesel,120000,2179,15.1,11,1.3727272727272728,930921.1267605633,old,0
hyderabad,automatic,1,volkswagen,volkswagen polo,2017,gt tsi sport edition,760000.0,2017,petrol,80000,1197,17.21,7,2.4585714285714286,703303.886925795,mid-age,0
hyderabad,manual,1,skoda,skoda rapid,2012,1.6 tdi elegance,499000.0,2012,diesel,75000,1598,20.5,12,1.7083333333333333,1001170.8860759494,old,0
hyderabad,manual,1,mahindra,mahindra xuv500,2018,w10 1.99 mhawk,1300000.0,2018,diesel,78500,1997,16.0,6,2.6666666666666665,930921.1267605633,mid-age,0
hyderabad,manual,1,maruti,maruti ritz,2013,vdi,450000.0,2013,diesel,56000,1248,23.2,11,2.109090909090909,504649.26094808127,old,1
hyderabad,manual,1,fiat,fiat punto,2014,1.3 dynamic,295000.0,2014,diesel,100000,1248,20.3,10,2.0300000000000002,288166.6666666667,old,0
hyderabad,automatic,2,hyundai,hyundai i20,2017,1.4 magna at,667000.0,2018,petrol,32289,1368,18.6,6,3.1,605200.0006153847,mid-age,0
hyderabad,automatic,1,tata,tata nexon,2018,1.2 revotron xza plus dualtone,790000.0,2018,petrol,106467,1198,17.0,6,2.8333333333333335,748643.1780487805,mid-age,0
hyderabad,manual,1,maruti,maruti swift,2014,vdi,480000.0,2014,diesel,75000,1248,22.9,10,2.29,504649.26094808127,old,1
hyderabad,manual,2,honda,honda city,2014,i vtec v,464000.0,2014,petrol,109832,1497,17.4,10,1.7399999999999998,624483.4192037471,old,0
hyderabad,automatic,1,hyundai,hyundai elantra,2018,2.0 sx option at,1228000.0,2018,petrol,44123,1999,14.62,6,2.4366666666666665,605200.0006153847,mid-age,0
hyderabad,manual,2,maruti,maruti vitara brezza,2017,zdi plus,801000.0,2017,diesel,121129,1248,24.3,7,3.4714285714285715,504649.26094808127,mid-age,1
hyderabad,manual,2,maruti,maruti ignis,2020,1.2 zeta bsiv,560000.0,2020,petrol,40000,1197,20.89,4,5.2225,504649.26094808127,mid-age,0
hyderabad,manual,1,mahindra,mahindra kuv 100,2016,mfalcon d75 k8 5str,420000.0,2016,diesel,72607,1198,25.32,8,3.165,930921.1267605633,old,1
hyderabad,manual,2,hyundai,hyundai grand i10,2016,sportz,472000.0,2016,petrol,28467,1197,18.9,8,2.3625,605200.0006153847,old,0
hyderabad,manual,1,skoda,skoda rapid,2017,1.6 mpi ambition bsiv,750000.0,2017,petrol,60000,1598,15.41,7,2.2014285714285715,1001170.8860759494,mid-age,0
hyderabad,manual,1,hyundai,hyundai creta,2017,1.6 crdi sx option,1098000.0,2017,diesel,122474,1582,19.67,7,2.81,605200.0006153847,mid-age,0
hyderabad,automatic,1,maruti,maruti baleno,2017,1.2 cvt delta,650000.0,2018,petrol,37665,1197,21.4,6,3.5666666666666664,504649.26094808127,mid-age,0
hyderabad,automatic,1,volvo,volvo xc 90,2017,d5 inscription bsiv,4550000.0,2017,diesel,152000,1969,17.2,7,2.457142857142857,3188731.7073170734,mid-age,0
hyderabad,manual,2,maruti,maruti wagon r,2014,vxi bs iv,320000.0,2014,petrol,50000,998,20.51,10,2.051,504649.26094808127,old,0
