city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl
bangalore,manual,1,hyundai,hyundai i20,2016,asta option 1.2,608000.0,2016,petrol,91660,1197,18.6
bangalore,manual,2,honda,honda city,2015,i vtec vx,698000.0,2015,petrol,51947,1497,17.4
bangalore,manual,2,tata,tata hexa,2018,xm,1250000.0,2018,diesel,80000,2179,17.6
bangalore,manual,2,maruti,maruti sx4 s cross,2016,ddis 200 zeta,751000.0,2016,diesel,76836,1248,23.65
bangalore,automatic,2,honda,honda brio,2015,vx at,535000.0,2015,petrol,27000,1198,16.5
bangalore,automatic,1,hyundai,hyundai verna,2017,vtvt 1.6 at sx option,1035000.0,2017,petrol,33222,1591,17.0
bangalore,manual,1,hyundai,hyundai i10,2013,era 1.1 itech se,328000.0,2013,petrol,47333,1086,19.81
bangalore,automatic,1,hyundai,hyundai grand i10 nios,2021,amt sportz,725000.0,2021,petrol,20000,1197,20.7
bangalore,manual,1,hyundai,hyundai verna,2017,1.6 vtvt s,740000.0,2017,petrol,46000,1591,17.01
bangalore,manual,1,toyota,toyota innova,2012,2.5 vx (diesel) 7 seater bs iv,875000.0,2012,diesel,68000,2494,12.99
bangalore,manual,2,nissan,nissan micra active,2015,xv,480000.0,2015,petrol,40000,1198,19.69
bangalore,manual,2,mitsubishi,mitsubishi lancer,2001,glxd,76000.0,2001,diesel,90000,1998,14.8
bangalore,manual,1,ford,ford fiesta,2010,1.6 zxi duratec,190000.0,2010,petrol,80000,1596,15.3
bangalore,manual,4,hyundai,hyundai i10,2010,era,210000.0,2010,petrol,90000,1086,19.81
bangalore,manual,1,maruti,maruti swift,2014,vdi bsiv,480000.0,2014,diesel,80000,1248,25.2
bangalore,manual,2,hyundai,hyundai verna,2012,1.6 crdi ex mt,380000.0,2012,diesel,150000,1582,22.32
bangalore,manual,1,tata,tata nexon,2022,xz plus hs dark edition,1280000.0,2022,petrol,20000,1199,17.57
bangalore,automatic,1,ford,ford ecosport,2016,1.5 ti vct at titanium bsiv,770000.0,2016,petrol,43791,1499,15.63
bangalore,automatic,1,maruti,maruti swift,2018,vxi amt,599000.0,2018,petrol,87660,1197,22.56
bangalore,automatic,5,mahindra,mahindra xuv500,2016,at w10 awd,800000.0,2016,diesel,90000,2179,16.0
bangalore,manual,3,hyundai,hyundai santro xing,2011,gls,231999.99999999997,2011,petrol,71938,1086,17.92
bangalore,manual,2,hyundai,hyundai verna,2013,1.6 sx vtvt,525000.0,2013,petrol,104938,1591,17.01
bangalore,manual,1,honda,honda city,2020,v mt,950000.0,2020,petrol,30000,1497,17.4
bangalore,manual,2,skoda,skoda rapid,2017,1.6 mpi ambition bsiv,635000.0,2018,petrol,124707,1598,15.41
